,init_ccode,init_name,larger_war_name,target_ccode,target_name,year,tpopa,cinca,gdpa,ya,annual_outcome,tpopb,gdpb,cincb,yb,win,cincfrac,gdpfrac,yfrac
0,220,France,Franco-Spanish1823,230,Spain,1823,30940.0,0.1463445,38000000000.0,45400000000000.0,1,11672.0,13700000000.0,0.0299894,15000000000000.0,1.0,0.8299283348238767,0.7350096711798839,0.7516556291390728
2,365,Russia,Russo-Turkish1828-1829,640,Turkey,1829,55300.0,0.1653604,45300000000.0,37100000000000.0,1,29491.0,7110000000.0,0.0561793,2350000000000.0,1.0,0.7464142995589503,0.864338866628506,0.9404309252217997
4,2,United States of America,Mexican-American1846-1847,70,Mexico,1847,21406.0,0.0845096,39200000000.0,71500000000000.0,1,7472.0,5100000000.0,0.0086196,3310000000000.0,1.0,0.9074447112183933,0.8848758465011287,0.9557545782649378
6,325,Italy,Austro-Sardinian1848-1849,300,Austria-Hungary,1849,4928.0,0.017559900000000003,30400000000.0,47100000000000.0,2,36424.0,,0.08976460000000001,,0.0,0.16361501800614026,,
8,255,Germany,Germany-Denmark 1848,390,Denmark,1849,16331.0,0.048293699999999995,39200000000.0,65000000000000.0,1,2316.0,2560000000.0,0.0057163000000000005,3670000000000.0,1.0,0.8941621921866321,0.9386973180076629,0.9465559924275521
9,220,France,RomanRepublic1849,327,Papal States,1849,35550.0,0.13217120000000002,55000000000.0,86500000000000.0,1,2999.0,2040000000.0,0.0065551,1400000000000.0,1.0,0.9527479648776043,0.9642356241234221,0.9840728100113766
11,140,Brazil,LaPlata1851-1852,160,Argentina,1852,7456.0,0.0114167,4960000000.0,3380000000000.0,1,1006.0,1450000000.0,0.0027388,1910000000000.0,1.0,0.8065204337536647,0.7737909516380655,0.6389413988657845
15,640,Turkey,Crimean1853-1856,365,Russia,1856,32332.0,0.031291200000000005,9740000000.0,4400000000000.0,1,71600.0,65900000000.0,0.16403099999999998,61400000000000.0,1.0,0.16020298767881994,0.12876784769962982,0.0668693009118541
17,200,United Kingdom,Anglo-Persian1856-1857,630,Iran,1857,28187.0,0.2900489,76300000000.0,210000000000000.0,1,6349.0,5390000000.0,0.0060523,4400000000000.0,1.0,0.9795600288009639,0.934018851756641,0.9794776119402985
18,300,Austria-Hungary,ItalianUnification1859,325,Italy,1859,37579.0,0.0822447,,,2,5054.0,32800000000.0,0.014791499999999999,50700000000000.0,0.0,0.847567196572001,,
20,230,Spain,Spanish-Moroccan1859-1860,600,Morocco,1860,15640.0,0.0219517,20100000000.0,25800000000000.0,1,1976.0,1930000000.0,0.0018800000000000002,1120000000000.0,1.0,0.9211134749094694,0.9123921924648207,0.9583952451708767
21,325,Italy,Italo-Roman1860,327,Papal States,1860,23927.0,0.028627499999999997,33800000000.0,50200000000000.0,1,3162.0,2040000000.0,0.0045924,1370000000000.0,1.0,0.861757560980015,0.9430803571428571,0.9734341671514446
23,325,Italy,Italo-Sicilian1860-1861,329,Two Sicilies,1861,24108.0,0.033831599999999996,35500000000.0,52100000000000.0,1,9179.0,2130000000.0,0.0149362,498000000000.0,1.0,0.6937282387148896,0.9433962264150944,0.9905319593900909
29,220,France,Franco-Mexican1862-1867,70,Mexico,1867,38230.0,0.11666480000000001,71500000000.0,138000000000000.0,2,9022.0,6280000000.0,0.0055965,4290000000000.0,0.0,0.9542250900325777,0.9192594497300077,0.9698503057136834
30,100,Colombia,Ecuadorian-Colombian1863,130,Ecuador,1863,2644.0,0.0008254,1480000000.0,908000000000.0,1,998.0,507000000.0,0.00025350000000000004,258000000000.0,1.0,0.7650384651033459,0.7448414695520886,0.7787307032590052
31,255,Germany,SecondSchleswig-Holstein1864,390,Denmark,1864,19255.0,0.056731500000000004,58600000000.0,116000000000000.0,1,1716.0,3250000000.0,0.0030963,5950000000000.0,1.0,0.948246467361327,0.9474535165723524,0.951209512095121
32,300,Austria-Hungary,SecondSchleswig-Holstein1864,390,Denmark,1864,36529.0,0.0397204,,,1,1716.0,3250000000.0,0.0030963,5950000000000.0,1.0,0.9276847585171206,,
39,150,Paraguay,Lopez1864-1870,140,Brazil,1870,232.0,0.00020750000000000003,1910000000.0,9590000000000.0,2,9797.0,6920000000.0,0.009417,4950000000000.0,0.0,0.021559561535664195,0.21630804077010193,0.6595598349381018
45,150,Paraguay,Lopez1864-1870,160,Argentina,1870,232.0,0.00020750000000000003,1910000000.0,9590000000000.0,2,1859.0,2680000000.0,0.0029051,3980000000000.0,0.0,0.06666452483454348,0.41612200435729846,0.7067059690493737
47,230,Spain,NavalWar1865-1866,155,Chile,1866,15980.0,0.020437200000000003,20100000000.0,25600000000000.0,2,1832.0,2150000000.0,0.0016574,2560000000000.0,0.0,0.9249861957220317,0.903370786516854,0.9090909090909091
48,255,Germany,SevenWeeks1866,240,Hanover,1866,24342.0,0.0658419,64700000000.0,120000000000000.0,1,1934.0,2060000000.0,0.0032339,2230000000000.0,1.0,0.9531833145616845,0.9691431995206711,0.9817557064550437
49,255,Germany,SevenWeeks1866,269,Saxony,1866,24342.0,0.0658419,64700000000.0,120000000000000.0,1,2383.0,2000000000.0,0.0057244,1730000000000.0,1.0,0.9200126316436646,0.9700149925037481,0.985788219830773
50,255,Germany,SevenWeeks1866,273,Hesse Electoral,1866,24342.0,0.0658419,64700000000.0,120000000000000.0,1,749.0,2070000000.0,0.0011797,5800000000000.0,1.0,0.9823982119197392,0.9689980530178224,0.9538950715421304
51,255,Germany,SevenWeeks1866,300,Austria-Hungary,1866,24342.0,0.0658419,64700000000.0,120000000000000.0,1,34482.0,,0.0572548,,1.0,0.5348794890521029,,
52,255,Germany,SevenWeeks1866,245,Bavaria,1866,24342.0,0.0658419,64700000000.0,120000000000000.0,1,4815.0,2130000000.0,0.0068817999999999995,952000000000.0,1.0,0.9053706013307905,0.9681280861888374,0.9921291090680601
53,255,Germany,SevenWeeks1866,280,Hesse Grand Ducal,1866,24342.0,0.0658419,64700000000.0,120000000000000.0,1,558.0,2110000000.0,0.00047139999999999997,8170000000000.0,1.0,0.9928913204440135,0.9684179015117498,0.9362565342903956
54,255,Germany,SevenWeeks1866,267,Baden,1866,24342.0,0.0658419,64700000000.0,120000000000000.0,1,1434.0,1930000000.0,0.001275,2680000000000.0,1.0,0.9810032942522673,0.9710340687378058,0.9781545484186501
55,255,Germany,SevenWeeks1866,271,Wuerttemburg,1866,24342.0,0.0658419,64700000000.0,120000000000000.0,1,1761.0,2060000000.0,0.0016377,2400000000000.0,1.0,0.9757304429783222,0.9691431995206711,0.9803921568627451
57,220,France,FrancoPrussian1870-1871,255,Germany,1871,36190.0,0.1373235,70400000000.0,134000000000000.0,2,41030.0,80500000000.0,0.11984760000000001,164000000000000.0,0.0,0.5339771848391984,0.4665341285619616,0.44966442953020136
58,90,Guatemala,FirstCentralAmerican1876,92,El Salvador,1876,581.0,0.0002735,2340000000.0,9340000000000.0,1,555.0,1190000000.0,0.0002963,2610000000000.0,1.0,0.47999297999297996,0.6628895184135978,0.7815899581589958
60,365,Russia,Russo-Turkish1877-1878,640,Turkey,1878,93000.0,0.1307014,101000000000.0,111000000000000.0,1,34409.0,12400000000.0,0.0266848,7590000000000.0,1.0,0.830450191948214,0.890652557319224,0.935997976220592
65,155,Chile,Pacific1879-1883,135,Peru,1883,2408.0,0.0025644,4250000000.0,7700000000000.0,1,2759.0,1800000000.0,0.0013604,1030000000000.0,1.0,0.6533836119037914,0.7024793388429752,0.8820160366552119
70,155,Chile,Pacific1879-1883,145,Bolivia,1883,2408.0,0.0025644,4250000000.0,7700000000000.0,1,1517.0,5330000000.0,0.0004798,17900000000000.0,1.0,0.8423888049405427,0.44363256784968685,0.30078125
71,200,United Kingdom,UK-Egypt1882,651,Egypt,1882,35206.0,0.2116762,131000000000.0,488000000000000.0,1,5669.0,5700000000.0,0.0040787,4670000000000.0,1.0,0.9810956784759003,0.958302852962692,0.9905210384232853
73,220,France,France-China1884,710,China,1885,38110.0,0.1010312,82300000000.0,177000000000000.0,1,377636.0,208000000000.0,0.1609649,117000000000000.0,1.0,0.3856210073356054,0.28349982776438165,0.6020408163265306
74,90,Guatemala,SecondCentralAmerican1885,92,El Salvador,1885,681.0,0.0002855,2260000000.0,7590000000000.0,2,651.0,1150000000.0,0.0002674,2110000000000.0,0.0,0.516368240188099,0.6627565982404692,0.7824742268041237
75,90,Guatemala,1890CentralAmericanWar,92,El Salvador,1890,745.0,0.00036960000000000004,2230000000.0,6630000000000.0,2,689.0,1120000000.0,0.0005022000000000001,1860000000000.0,0.0,0.42395044735030973,0.6656716417910448,0.7809187279151943
77,740,Japan,Sino-Japanese1894-1895,710,China,1895,41557.0,0.031202999999999998,45300000000.0,49000000000000.0,1,421763.0,216000000000.0,0.1521999,116000000000000.0,1.0,0.17013362384128058,0.17336394948335246,0.296969696969697
78,350,Greece,Greco-Turkish1897,640,Turkey,1897,2451.0,0.0021064,5840000000.0,7730000000000.0,2,27627.0,15600000000.0,0.0242576,11500000000000.0,0.0,0.07989682900925504,0.27238805970149255,0.40197607904316174
79,2,United States of America,Spanish-American1898,230,Spain,1898,73494.0,0.19706189999999998,290000000000.0,1140000000000000.0,1,18400.0,32100000000.0,0.017012400000000004,56700000000000.0,1.0,0.9205303952879911,0.9003415088481838,0.9526197041865129
80,2,United States of America,BoxerRebellion1900,710,China,1900,76094.0,0.1879988,324000000000.0,1380000000000000.0,1,425577.0,222000000000.0,0.11997739999999998,118000000000000.0,1.0,0.6104328840994856,0.5934065934065934,0.9212283044058746
81,200,United Kingdom,BoxerRebellion1900,710,China,1900,41155.0,0.1775276,183000000000.0,827000000000000.0,1,425577.0,222000000000.0,0.11997739999999998,118000000000000.0,1.0,0.5967213996403422,0.45185185185185184,0.8751322751322751
82,220,France,BoxerRebellion1900,710,China,1900,38940.0,0.07471439999999999,107000000000.0,294000000000000.0,1,425577.0,222000000000.0,0.11997739999999998,118000000000000.0,1.0,0.3837573025674425,0.3252279635258359,0.7135922330097088
83,365,Russia,BoxerRebellion1900,710,China,1900,132900.0,0.1092385,160000000000.0,197000000000000.0,1,425577.0,222000000000.0,0.11997739999999998,118000000000000.0,1.0,0.4765747053323963,0.418848167539267,0.6253968253968254
84,740,Japan,BoxerRebellion1900,710,China,1900,43847.0,0.028886400000000003,51800000000.0,61300000000000.0,1,425577.0,222000000000.0,0.11997739999999998,118000000000000.0,1.0,0.1940458324992376,0.1891891891891892,0.3418851087562744
86,740,Japan,Russo-Japanese1904-1905,365,Russia,1905,46620.0,0.0485216,57300000000.0,69900000000000.0,1,143900.0,176000000000.0,0.1631346,220000000000000.0,1.0,0.2292472415171396,0.2456065152164595,0.24111762676785098
87,92,El Salvador,ThirdCentralAmerican1906,90,Guatemala,1906,910.0,0.00029289999999999996,1070000000.0,1290000000000.0,2,1030.0,2240000000.0,0.0005178,4190000000000.0,0.0,0.3612927100037005,0.32326283987915405,0.2354014598540146
88,90,Guatemala,ThirdCentralAmerican1906,91,Honduras,1906,1030.0,0.0005178,2240000000.0,4190000000000.0,1,510.0,1020000000.0,0.00014350000000000002,1980000000000.0,1.0,0.7830031755632844,0.6871165644171779,0.6790923824959482
