dt,average
1983-07-01,1625.97
1983-08-01,1628.05
1983-09-01,1638.44
1983-10-01,1644.79
1983-11-01,1642.6
1983-12-01,1639.52
1984-01-01,1638.65
1984-02-01,1638.76
1984-03-01,1640.74
1984-04-01,1643.72
1984-05-01,1642.88
1984-06-01,1639.61
1984-07-01,1637.77
1984-08-01,1641.35
1984-09-01,1650.42
1984-10-01,1654.48
1984-11-01,1653.67
1984-12-01,1656.16
1985-01-01,1655.58
1985-02-01,1652.23
1985-03-01,1654.64
1985-04-01,1658.18
1985-05-01,1655.85
1985-06-01,1650.07
1985-07-01,1646.8
1985-08-01,1652.23
1985-09-01,1662.51
1985-10-01,1667.49
1985-11-01,1666.8
1985-12-01,1666.07
1986-01-01,1666.22
1986-02-01,1666.85
1986-03-01,1669.28
1986-04-01,1670.8
1986-05-01,1668.42
1986-06-01,1664.79
1986-07-01,1662.31
1986-08-01,1664.36
1986-09-01,1672.59
1986-10-01,1678.67
1986-11-01,1679.0
1986-12-01,1679.15
1987-01-01,1679.37
1987-02-01,1679.02
1987-03-01,1680.1
1987-04-01,1681.36
1987-05-01,1681.82
1987-06-01,1680.01
1987-07-01,1675.96
1987-08-01,1677.14
1987-09-01,1685.61
1987-10-01,1691.56
1987-11-01,1691.17
1987-12-01,1690.5
1988-01-01,1691.95
1988-02-01,1692.5
1988-03-01,1691.3
1988-04-01,1689.99
1988-05-01,1689.04
1988-06-01,1687.1
1988-07-01,1685.8
1988-08-01,1689.15
1988-09-01,1695.94
1988-10-01,1701.07
1988-11-01,1702.83
1988-12-01,1701.97
1989-01-01,1700.54
1989-02-01,1701.07
1989-03-01,1702.52
1989-04-01,1703.63
1989-05-01,1703.41
1989-06-01,1700.27
1989-07-01,1698.22
1989-08-01,1701.97
1989-09-01,1707.2
1989-10-01,1710.52
1989-11-01,1713.07
1989-12-01,1713.17
1990-01-01,1711.99
1990-02-01,1713.36
1990-03-01,1714.38
1990-04-01,1712.63
1990-05-01,1710.67
1990-06-01,1708.35
1990-07-01,1706.38
1990-08-01,1710.1
1990-09-01,1717.57
1990-10-01,1722.02
1990-11-01,1723.49
1990-12-01,1723.35
1991-01-01,1721.58
1991-02-01,1721.2
1991-03-01,1722.14
1991-04-01,1722.54
1991-05-01,1722.23
1991-06-01,1719.04
1991-07-01,1716.07
1991-08-01,1719.24
1991-09-01,1726.2
1991-10-01,1732.74
1991-11-01,1737.47
1991-12-01,1739.61
1992-01-01,1738.79
1992-02-01,1737.28
1992-03-01,1736.92
1992-04-01,1736.59
1992-05-01,1734.9
1992-06-01,1731.6
1992-07-01,1728.85
1992-08-01,1730.35
1992-09-01,1734.65
1992-10-01,1737.71
1992-11-01,1739.23
1992-12-01,1738.53
1993-01-01,1735.73
1993-02-01,1734.38
1993-03-01,1735.53
1993-04-01,1736.67
1993-05-01,1734.95
1993-06-01,1730.85
1993-07-01,1728.03
1993-08-01,1731.19
1993-09-01,1738.48
1993-10-01,1743.34
1993-11-01,1745.17
1993-12-01,1744.28
1994-01-01,1741.41
1994-02-01,1740.88
1994-03-01,1741.98
1994-04-01,1741.93
1994-05-01,1740.62
1994-06-01,1736.93
1994-07-01,1732.42
1994-08-01,1734.09
1994-09-01,1742.96
1994-10-01,1749.82
1994-11-01,1751.26
1994-12-01,1751.59
1995-01-01,1751.03
1995-02-01,1749.4
1995-03-01,1748.95
1995-04-01,1749.37
1995-05-01,1747.6
1995-06-01,1742.82
1995-07-01,1740.15
1995-08-01,1743.56
1995-09-01,1749.75
1995-10-01,1754.27
1995-11-01,1755.41
1995-12-01,1753.83
1996-01-01,1752.26
1996-02-01,1752.81
1996-03-01,1752.31
1996-04-01,1749.57
1996-05-01,1748.26
1996-06-01,1746.05
1996-07-01,1742.02
1996-08-01,1744.24
1996-09-01,1752.59
1996-10-01,1758.81
1996-11-01,1760.01
1996-12-01,1756.94
1997-01-01,1753.37
1997-02-01,1753.86
1997-03-01,1755.69
1997-04-01,1755.51
1997-05-01,1753.83
1997-06-01,1750.15
1997-07-01,1746.12
1997-08-01,1747.87
1997-09-01,1755.03
1997-10-01,1760.22
1997-11-01,1761.69
1997-12-01,1761.93
1998-01-01,1761.48
1998-02-01,1761.53
1998-03-01,1763.05
1998-04-01,1764.7
1998-05-01,1764.22
