 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M1526|Dahna Toor Coal Mine|Dhena Toor, Dahan-e-Tor||https://www.gem.wiki/Dahna_Toor_Coal_Mine||Operating||||North Coal Enterprise (NCE)|North Coal Enterprise (NCE)|North Coal Enterprise (NCE)|Afghanistan|Production|0.85||Underground|Shovel & Spade||494|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|||||Dara-e-Suf|Samangan|Afghanistan|4|Africa & Middle East|35.7049922455816|67.312195520882|Approximate||||4.5|6.1|0.1|1.52
M1761|Garmak Project Coal Mine|Western Garmak||https://www.gem.wiki/Garmak_Project_Coal_Mine||Operating||||Khoshak Brothers Company|Khoshak Brothers Company|Khoshak Brothers Company|Afghanistan|Production|0.04||Underground|Shovel & Spade|6.5|494|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|||||Balkhab|Samangan|Afghanistan|4|Africa & Middle East|35.733|67.308|Approximate||||4.5|0.3|0.0|0.07
M0001|Shadashak Coal Mine|||https://www.gem.wiki/Shadashak_Coal_Mine||Operating||||North Coal Enterprise (NCE)|North Coal Enterprise (NCE)|North Coal Enterprise (NCE)|Afghanistan|Production|1.1||Underground|||494|Estimate||Bituminous|Met|-|-|-|-|-|-|-|-|1967|||Shabashak|Dar-l-Suf|Samangan|Afghanistan|4|Africa & Middle East|35.863255|67.596674|Approximate||||13.7|24.1|0.5|2.88
M1760|Tala Wa Barfak Coal Mine|||https://www.gem.wiki/Tala_Wa_Barfak_Coal_Mine||Operating||||North Coal Enterprise (NCE)|North Coal Enterprise (NCE)|North Coal Enterprise (NCE)|Afghanistan|Production|0.1||Underground|Shovel & Spade||494|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|||||Kahmard|Baghlan|Afghanistan|4|Africa & Middle East|35.33194|68.12|Approximate||||4.5|0.7|0.0|0.18
M1527|Valius Coal Mine|||https://www.gem.wiki/Valius_Coal_Mine||Operating||||-|-|-|-|Production|0.1||Underground|||494|Estimate||Lignite|Thermal|-|-|-|-|-|-|-|-|||Tirana Coal Basin||Kamez|Tirana|Albania|8|Europe (EU-27)|41.3915182401782|19.7364263942232|Exact||||4.5|0.7|0.0|0.12
M1528|Río Turbio Coal Mine||Mina Río Turbio|https://www.gem.wiki/Río_Turbio_Mine|https://www.gem.wiki/Mina_R%C3%ADo_Turbio|Operating||||Yacimientos Carboníferos Río Turbio (YCRT)|Yacimientos Carboníferos Río Turbio (YCRT)|Yacimientos Carboníferos Río Turbio (YCRT)|Argentina|Production|0.05||Underground|||494|Estimate|400|Subbituminous|Thermal|450|-|-|-|-|-|-|9000|1943||Río Turbio|Argentina|Río Turbio|Santa Cruz|Argentina|32|Latin America|-51.538363|-72.324353|Exact||||4.5|0.4|0.0|0.09
M0002|Airly Coal Mine|||https://www.gem.wiki/Airly_Mine||Operating||||Centennial Coal Airly|Centennial Coal Airly|Banpu|Thailand|Production|0.9||Underground|Longwall||500|Estimate|140|Bituminous|Thermal|32|2|-|-|-|-|85|35|1998|25|Western Coalfield|Capertee||New South Wales|Australia|36|Australia & NZ|-33.12900777|149.975|Exact||||13.8|19.9|0.4|2.16
M2494|Alpha Coal Project|||https://www.gem.wiki/Alpha_Coal_Project||Cancelled|Announced|New||GVK Hancock|GVK Hancock|GVK Group (79%), Hancock Coal (21%)|India, Australia|Capacity|32||Surface|Open Pit|214|50|Estimate||Subbituminous|Thermal|821|-|-|-|-|-|2600|26|||Galilee|Alpha||Queensland|Australia|36|Australia & NZ|-23.389482|146.39734|Approximate|Terminal (Export)|Abbot Point Coal Terminal|https://www.gem.wiki/Abbot_Point_Coal_Terminal|0.8|38.4|0.8|57.12
M2491|Alpha West Coal Project|||https://www.gem.wiki/Alpha_West_coal_project||Shelved|Announced|New||GVK Hancock|GVK Hancock|GVK Group|India|Capacity|24||Underground|Longwall||500|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|1800|-|||Galilee|Alpha||Queensland|Australia|36|Australia & NZ|-23.115171|146.332751|Approximate|Terminal (Export)|Abbot Point Coal Terminal|https://www.gem.wiki/Abbot_Point_Coal_Terminal|4.5|172.8|3.5|42.84
M0004|Angus Place Coal Mine|||https://www.gem.wiki/Angus_Place_Colliery||Mothballed|Care and Maintenance|||Centennial Coal Angus Place, Springvale SK Kores|Centennial Coal Angus Place, Springvale SK Kores|Banpu (50%), SK Energy (50%)|Thailand, South Korea|Production|2.5||Underground|||500|Estimate|280|Subbituminous|Thermal|27|-|-|-|-|-|-|11||4||Lithgow||New South Wales|Australia|36|Australia & NZ|-33.351985|150.099356|Exact||||13.8|55.2|1.1|4.46
M0004|Angus Place Coal Mine|Angus Place Mine Extension Project (MPMEP)||https://www.gem.wiki/Angus_Place_Colliery||Cancelled|Announced|Expansion||Centennial Coal Angus Place|Centennial Coal Angus Place|Banpu|Thailand|Capacity|3||Underground||104.60|500|Estimate|270|Subbituminous|Thermal|54|-|-|-|-|-|-|18|2022||Western|Lithgow||New South Wales|Australia|36|Australia & NZ|-33.349157|150.199019|Exact||||0.6|2.9|0.1|5.36
