,DEPOSIT_NAME,CRITICAL_MINERAL,DEPOSIT_TYPE,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL,geometry
0,Coeur d'Alene district,Antimony,Simple Sb,47.534069999630844,-116.24849999967523,United States of America,Idaho,POINT (-116.2484999996752 47.53406999963084)
1,Krasna Gora,Antimony,Au-Sb,49.581990000338294,14.335470000140447,Czech Republic,,POINT (14.33547000014045 49.58199000033829)
2,Hillgrove,Antimony,Au-Sb,-30.57138000028675,151.90686999985064,Australia,,POINT (151.9068699998506 -30.57138000028675)
3,Blue Spec,Antimony,Au-Sb,-21.829870000100357,120.24929000043323,Australia,,POINT (120.2492900004332 -21.82987000010036)
4,Becker Cochrane,Antimony,Simple Sb,60.18332999957988,-135.21665999975914,Canada,,POINT (-135.2166599997591 60.18332999957988)
5,La Cruz Mine Zone,Antimony,Disseminated Sb,18.25068000038175,-99.66702999973467,Mexico,,POINT (-99.66702999973467 18.25068000038175)
6,San Jose mines,Antimony,Simple Sb,23.549999999800207,-100.94999999960027,Mexico,,POINT (-100.9499999996003 23.54999999980021)
7,Brioude-Massiac,Antimony,Simple Sb,45.20610999997655,3.187500000025011,France,,POINT (3.187500000025011 45.20610999997655)
8,La Lucette,Antimony,Au-Sb,48.41659999979021,0.9500000000000455,France,,POINT (0.9500000000000455 48.41659999979021)
9,Sentachan,Antimony,Au-Sb,66.46166999987065,136.92511000042623,Russia,,POINT (136.9251100004262 66.46166999987065)
10,Lake George,Antimony,Disseminated Sb,45.86662999997458,-67.03259000012838,Canada,,POINT (-67.03259000012838 45.86662999997458)
11,Beaver Brook (Hunan),Antimony,Simple Sb,48.701412000263645,-55.23388499979285,Canada,,POINT (-55.23388499979285 48.70141200026364)
12,Olympiada,Antimony,Au-Sb,59.86988099960848,92.91800700002307,Russia,,POINT (92.91800700002307 59.86988099960848)
13,Sarylakh,Antimony,Au-Sb,64.34891999975827,142.52909999966528,Russia,,POINT (142.5290999996653 64.34891999975827)
