Country|Region|Lat|Lon|Type|Status|Amount
Algeria|Abankor|36.256111|6.598611|Vein|Dormant|5,000-10,000	
Algeria|Daira|34.833333|1.5|Vein|Dormant|UNKNOWN		
Algeria|Tahaggart|21.59|7.183611|Surficial|Dormant|1,000-2,500	
Algeria|Timgaouine|19.520833|5.637778|Vein|Dormant|10,000-25,000	
Algeria|Tinef|22.018889|4.161944|Vein|Dormant|UNKNOWN		
Argentina|Cerro Solo|-38.517222|-70.864167|Sandstone-Tabular|Dormant|2,500-5,000	
Argentina|Huemul|-41.103333|-71.396111|Sandstone-Tabular|Dormant|< 500		
Argentina|La Estela|-28.791667|-61.31|Vein|Depleted|< 500		
Argentina|Rodolfo|-33.183056|-60.7175|Surficial|Dormant|1,000-2,500	
Australia|Angela|-23.118333|118.693333|Sandstone-Roll Front|Dormant|5,000-10,000	
Australia|Ben Lomond|-41.56|147.67|Volcanic|Dormant|5,000-10,000
Australia|Bennetts Well|-21.516667|138.833333|Sandstone-Roll Front|Dormant|1,000-2,500
Australia|Beverley|-32.108333|116.927222|Sandstone-Basal Channel|Operating|10,000-25,000
Australia|Bigrlyi|-22.22|131.036667|Sandstone-Roll Front|Dormant|5,000-10,000
Australia|Centipede|-22.583333|114.233333|Surficial|Dormant|2,500-5,000
Australia|Coronation Hill|-34.0075|139.128056|Unconformity-Proterozoic|Dormant|1,000-2,500
Australia|Crocker Well|-32.016667|139.806667|Intrusive|Exploration|2,500-5,000
Australia|Dam|-30.485|136.876944|Unconformity-Proterozoic|Dormant|500-1,000
Australia|Hodgkinson|-16.75|145.0|Hematite Breccia Complex|Dormant|< 500
Australia|Honeymoon|-37.783056|148.504722|Sandstone-Roll Front|Development|1,000-2,500
Australia|Jailor Bore|-23.746944|115.325|Surficial|Exploration|500-1,000
Australia|Kintyre|-27.579167|151.599722|Unconformity-Proterozoic|Dormant|25,000-50,000
Australia|Kylie|-34.136667|140.764167|Unconformity-Proterozoic|Exploration|UNKNOWN
