DATE,us_wapop,us_pop,us_rgdp,jp_wapop,jp_pop,jp_rgdp,au_wapop,au_pop,au_rgdp
1994-01-01,165010581.056402,262021.0,10195.338,86899667.859,125178000.0,446307.8,11749448.0,17855000.0,228797.0
1995-01-01,166504010.065306,265157.0,10550.251,86924604.293,125472000.0,452113.1,11864588.0,18072000.0,235857.0
1996-01-01,167864295.081299,268258.0,10824.673999999999,86837095.08299999,125757000.0,466622.9,12018844.0,18311000.0,246064.0
1997-01-01,170273654.512869,271472.0,11291.665,86946563.13299999,126057000.0,479684.0,12167331.0,18517000.0,253543.0
1998-01-01,172110203.30854902,274732.0,11839.876,86780421.442,126400000.0,471369.2,12299294.0,18711000.0,267017.0
1999-01-01,174439507.36520702,277891.0,12410.778,86689580.877,126631000.0,467408.7,12444173.0,18926000.0,280753.0
2000-01-01,178283120.25131398,281083.0,12935.252,86536820.82200001,126843000.0,479859.9,12602732.0,19153000.0,290941.0
2001-01-01,180406010.510919,283960.0,13219.251,86316372.08399999,127149000.0,490555.5,12768505.0,19413000.0,296385.0
2002-01-01,182560899.521895,286739.0,13394.91,85950015.631,127445000.0,480736.7,12948589.0,19651400.0,308370.0
2003-01-01,185628807.479922,289412.0,13619.434,85377867.975,127718000.0,487811.0,13118632.0,19895400.0,317802.0
2004-01-01,187682595.904256,292046.0,14212.34,85191817.608,127761000.0,501634.3,13286669.0,20127400.0,332582.0
2005-01-01,189989132.316932,294768.0,14767.846000000001,84774670.119,127773000.0,506402.3,13455441.0,20394800.0,342508.0
2006-01-01,192348859.242806,297526.0,15244.088,84196148.207,127854000.0,517245.8,13651652.0,20697900.0,350930.0
2007-01-01,194946985.28778002,300398.0,15478.956,83406752.493,128001000.0,527489.3,13880774.0,20827600.0,366514.0
2008-01-01,196089040.13152298,303280.0,15702.906,82928748.373,128063000.0,529005.2,14154645.0,21249200.0,378448.0
2009-01-01,196970224.72906202,306035.0,15187.475,82227860.579,128047000.0,482240.5,14472005.0,21691700.0,384006.0
2010-01-01,198083906.883309,308706.0,15456.059,81583684.95199999,128070000.0,502772.4,14709796.0,22031750.0,392717.0
2011-01-01,199087729.195714,311204.0,15769.911,81277958.237,127833000.0,508367.7,14880554.0,22340024.0,400452.0
2012-01-01,201021810.131879,313636.0,16179.968,80907985.66903771,127629000.0,522614.8,15067068.0,22733465.0,419514.0
2013-01-01,201743410.363558,316038.0,16441.485,79687951.9202932,127445000.0,522681.2,15277575.0,23128129.0,429043.0
2014-01-01,202495491.693402,318464.0,16654.247,78515044.32761858,127276000.0,536194.5,15461192.0,23475686.0,441077.0
2015-01-01,203882457.049141,320997.0,17280.647,77585262.4929498,127141000.0,537574.9,15631925.0,23815995.0,450904.0
2016-01-01,205110123.824314,323509.0,17565.465,76972743.3790082,126994511.0,541911.9,15803045.0,24190907.0,462765.0
2017-01-01,205342840.944802,325901.0,17896.623,76462283.64580941,126785797.0,547320.9,16016806.0,24601860.0,472375.0
2018-01-01,206341001.969302,327969.0,18436.262,75776977.48984051,126529100.0,555151.0,16224910.0,24982688.0,486402.0
2019-01-01,206192688.705306,329766.0,18833.195,75273392.92828771,126264931.0,554942.1,16442486.0,25365745.0,495501.0
2020-01-01,205735861.619243,331443.0,18951.992,75094616.1051136,125836021.0,544572.1,16630543.000000002,25693267.0,503542.0
