state,population
AK,735132.0
AL,4833722.0
AR,2959373.0
AZ,6626624.0
CA,38332521.0
CO,5268367.0
CT,3596080.0
DC,646449.0
DE,925749.0
FL,19552860.0
GA,9992167.0
HI,1404054.0
IA,3090416.0
ID,1612136.0
IL,12882135.0
IN,6570902.0
KS,2893957.0
KY,4395295.0
LA,4625470.0
MA,6692824.0
MD,5928814.0
ME,1328302.0
MI,9895622.0
MN,5420380.0
MO,6044171.0
MS,2991207.0
MT,1015165.0
NC,9848060.0
ND,723393.0
NE,1868516.0
NH,1323459.0
NJ,8899339.0
NM,2085287.0
NV,2790136.0
NY,19651127.0
OH,11570808.0
OK,3850568.0
OR,3930065.0
PA,12773801.0
PR,3615086.0
RI,1051511.0
SC,4774839.0
SD,844877.0
TN,6495978.0
TX,26448193.0
UT,2900872.0
VA,8260405.0
VT,626630.0
WA,6971406.0
WI,5742713.0
WV,1854304.0
WY,582658.0
