, Global Innovation Index, Innovation Efficiency Ratio, Innovation Input Sub-index, Innovation Output Sub-index,Institutions(ranking),Human capital and research(ranking),Infrastructure(ranking),Market sophistication(ranking),Business sophistication(ranking),Knowledge and technology outputs(ranking),Creative outputs,Institutions(value),Human capital and research(value),Infrastructure(value),Market sophistication(value),Business sophistication(value),Knowledge and technology outputs(value),Creative outputs(value)
Albania,28.9,0.4,42,15.7,62,91,66,41,102,118,100,63.3,23.5,46.4,51.7,25.3,31.8,20
Algeria,24.3,0.5,33.1,15.6,103,86,79,122,119,107,116,47,25.8,42.3,29.5,21,26.9,16.7
Argentina,32,0.5,41.4,22.6,109,34,65,104,59,89,80,46.4,42.6,46.6,37.7,33.6,37.1,27.6
Armenia,35.7,0.8,39.7,31.6,63,103,91,46,85,50,44,61.9,19.4,39,50.5,27.7,27.1,37.5
Australia,51.8,0.6,64.6,39.1,14,9,7,9,27,34,24,87.4,60.2,64.8,65.3,45.4,36.6,46.1
Austria,53.1,0.7,62.9,43.3,15,8,16,30,19,21,17,87.1,61,63,53.1,50.3,43.9,48.3
Azerbaijan,30.6,0.5,40.7,20.5,74,108,50,23,110,104,87,55.9,17.9,50.5,55.3,23.8,22.3,25.5
Bahrain,34.7,0.6,44.4,24.9,51,73,38,84,93,73,71,67.3,30.6,54.6,42.7,26.8,15.7,29
Bangladesh,23.7,0.5,30.6,16.8,122,124,95,103,99,96,110,40.3,12,37,38.3,25.6,24,17.6
Belarus,30,0.4,43.2,16.7,81,36,67,90,65,61,123,54.1,41.9,46.1,41.9,32.2,23.6,11.7
Belgium,49.9,0.7,59.5,40.2,26,11,32,40,22,31,19,80.5,59.7,57.2,51.8,48.5,32.4,47.1
Benin,23,0.5,31.3,14.8,82,97,123,120,88,122,99,54,21.1,23.3,30.6,27.5,23.1,21
Bolivia,25.6,0.6,32.6,18.7,127,85,102,63,98,99,96,29.8,25.8,35.3,46.2,26,24.3,21.7
Bosnia and Herzegovina,30.2,0.5,41.1,19.3,71,39,96,79,90,92,98,56.8,41.3,36.9,43.4,27.4,20.6,21.4
Botswana,30,0.4,43.6,16.4,46,65,83,52,91,102,114,68.6,32,41,49.3,27.1,15.7,17.1
Brazil,33.1,0.5,43.5,22.7,91,50,57,74,43,85,83,51.8,35.9,48.3,44.2,37.2,41.9,26.6
Brunei Darussalam,32.9,0.3,49.3,16.5,31,69,55,54,34,114,105,77.2,31.1,49.4,48.5,40.2,21.7,19.4
