,country,Total Population,Available Manpower,Fit-for-Service,Reaching Mil Age Annually,Tot Military Personnel (est.),Active Personnel,Reserve Personnel,Paramilitary,Manpower Composition,Total Aircraft Strength,Fighters/Interceptors,Dedicated Attack,Transports,Trainers,Special-Mission,Tanker Fleet,Helicopters,Attack Helicopters,Tanks,Armored Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Oil Production,Oil Consumption,Oil Proven Reserves,Labor Force,Merchant Marine Fleet,Ports / Trade Terminals,Roadway Coverage,Railway Coverage,Airports,Defense Budget,External Debt,Foreign Exchange/Gold,Purchasing Power Parity,Square Land Area,Coastline Coverage,Shared Borders,Waterways (usable)
0,USA,334998398,147399295,122274415,4354979,1832000,1390000,442000,0,1,13247,1957,783,982,2661,774,627,5463,910,6612,45193,1498,1339,1366,11,9,92,0,22,68,10,8,11000000 bbl,19960000 bbl,35000000000 bbl,146128000,3627,35,6586610,293564,13513,$770000000000,$20275951000000,$123300000000,$19846720000000,9826675,19924,12048,41009
1,Switzerland,8453650,3719606,3017953,92990,144000,24000,120000,0,52,158,52,0,17,46,1,0,42,0,134,1339,133,0,0,,,,,,,,,0 bbl,223900 bbl,0 bbl,5067000,20,1,71557,5690,63,$5984000000,$1909446000000,$811200000000,$590170000000,41277,LANDLOCKED,1770,1299
2,Norway,5509591,2203836,1807146,71625,63000,23000,0,40000,51,161,44,21,4,35,8,0,49,0,36,700,80,0,12,0,0,0,4,6,6,17,6,1515000 bbl,205300 bbl,6376000000 bbl,2699000,1644,11,94902,4200,95,$8300000000,$651040000000,$65920000000,$342060000000,323802,25148,2566,1577
3,Ireland,5224884,2403447,1995906,57474,12700,8700,4000,0,96,23,0,0,4,8,3,0,8,0,0,122,0,0,0,0,0,0,0,0,0,5,0,0 bbl,153700 bbl,0 bbl,2289000,96,7,99830,4301,40,$1100000000,$2829303000000,$4412000000,$447970000000,70273,1448,443,956
4,Qatar,2479995,619999,476159,12400,19000,14000,0,5000,50,165,40,6,12,41,0,0,66,24,134,3100,46,12,47,0,0,0,0,4,0,20,0,1465000 bbl,277000 bbl,25240000000 bbl,1953000,129,3,7039,0,6,$5856000000,$167800000000,$15010000000,$245660000000,11586,563,87,0
5,Singapore,5866139,3812990,2557637,64528,270000,60000,200000,10000,38,244,100,0,9,36,9,11,79,18,170,3517,48,77,24,0,0,0,6,6,5,15,4,0 bbl,1322000 bbl,0 bbl,3778000,3321,1,3500,0,9,$11560000000,$1557646000000,$279900000000,$531040000000,697,193,NONE - ISLAND,10
6,Denmark,5894687,2593662,2098509,76631,61500,16000,45500,0,62,115,33,4,4,37,3,0,34,0,44,997,15,0,0,0,0,0,9,0,0,15,0,115000 bbl,158500 bbl,439000000 bbl,2736000,717,8,74558,3476,80,$3993096624,$504808000000,$75250000000,$326200000000,43094,7314,140,400
7,Australia,25809973,10840189,8878631,283910,79000,59000,20000,0,28,430,72,37,38,113,31,6,133,22,59,1765,0,54,0,0,2,3,8,0,6,12,4,285000 bbl,1175000 bbl,1821000000 bbl,12568000,581,29,873573,33343,418,$44618000000,$3115913000000,$60000000000,$1250900000000,7741220,25760,NONE - ISLAND,2000
8,Sweden,10261767,4104707,3447954,102618,38000,16000,0,22000,43,204,71,0,6,69,4,1,53,0,121,3371,48,0,0,0,0,0,0,7,5,161,9,0 bbl,323100 bbl,0 bbl,5029000,370,11,573134,14127,231,$8600000000,$911317000000,$62220000000,$524750000000,450295,3218,2211,2052
9,Netherlands,17337403,7801831,6328152,190711,45000,35000,5000,5000,53,156,40,13,4,28,0,1,70,24,18,2806,57,15,0,0,0,0,6,0,4,4,6,18000 bbl,945500 bbl,81130000 bbl,8907000,1199,6,139124,3058,29,$14260000000,$4345413000000,$38440000000,$945480000000,41543,451,1053,6237
