City	Figure	Date	Source	Notes
Amsterdam	13.00	2018	Statistics Netherlands/TNO	
Austin	10.00	2019	Austin Parks Foundation	
Barcelona	28.00	2019	Urban Ecology Department / Barcelona City Council	Including urban and forest parks
Bogotá	4.90	2017	Departamento Administrativo de la Defensoría del Espacio Público	
Brussels	18.80	2015	IBGE	
Buenos Aires	9.40	2018	Estadísticas y Censos	
Cape Town	24.00	2016	City of Cape Town	
Chengdu	42.30	2017	Statistics Bureau of Chengdu	
Dublin	26.00	2018	Dublin City Council	
Edinburgh	49.20	2016	ESRI	 is based on Mapping firm Esri UK analysis of Landsat 8 satellite images from Spring 2016 to illustrate the amount of green space in UK cities
Guangzhou	19.78	2018	Guangzhou Statistical Yearbook 2019	1470.48sqm
Helsinki	40.00	2018	City of Helsinki	
Hong Kong	40.00	2020	Agriculture, Fisheries and Conservation Department; Survey & Mapping Office, Lands Department	
Istanbul	2.20	2015	Istanbul Metropolitan Municipality	
Johannesburg	24.00	2002	State of the Environment Report, City of Johannesburg 2009	Figure does not refer to the Gauteng region but to the metropolitan area of Johannesburg
Lisbon	18.00	2021	CML-DM do Ambiente - Estrutura Verde - Clima e Energia	
London	33.00	2022	Greenspace Information for Greater London CIC 2022	Publicly accessible green space (not total green space)
Los Angeles	34.70	2016	LA County Parks and Recreation Needs Assessment	
Melbourne	9.30	2017	Victorian Planning Authority	Greater Melbourne
Milan	13.74	2020	Direzione Verde Comune Milano	
Montréal	12.82	2021	Ville de Montréal, Direction des grands parcs et du verdissement	
Moscow	18.00	2017	Department of natural resources	
Nanjing	40.67	2018	Nanjing Statistics Bureau	
New York	27.00	2010	New York City Department of City Planning Land Use	
Oslo	68.00	2019	Bymiljøetaten, Oslo kommune	
Paris	10.00	2019	Institut Paris Region	
Rome	38.90	2017	Roma Capitale	
San Francisco	13.00	2017	San Francisco Department of Recreations and Parks 2017 Community Report	
Seoul	27.91	2019	Seoul Metropolitan Government	
Shanghai	16.20	2017	Shanghai Municipal People's Government	
Shenzhen	40.90	2016	Shenzhen Statistical Yearbook	
Singapore	47.00	2011	National Parks Board	
Stockholm	40.00	2017	Statistics about Stockholm - Sweco	Stockholm City
Sydney	46.00	2010	New South Wales Department of Planning	
Taipei	6.56	2021	Parks and Street Lights Office, Taipei City	
Tokyo	7.50	2015	Bureau of Urban Development	Survey of City Planning Park and Green Space in Tokyo 2015
Toronto	13.00	2018	City of Toronto	
Vienna	50.00		Stadt Wien	
Warsaw	17.00	2015	Head Office of Geodesy and Cartography	
Zürich	41.00	2018	Grün Stadt Zürich
