year temp
2000 12.599271658577726
2001 12.532415143596541
2002 12.470937192189911
2003 12.47322484980523
2004 12.368743497226033
2005 12.604916247942574
2006 12.644656766482415
2007 12.642770526391025
2008 12.308879942351917
2009 12.368225988456835
2010 12.442483787766976
2011 12.556295226746832
2012 12.483278135879353
2013 12.08427861588457
2014 12.318024353033005
2015 12.637478529877496
2016 12.876001930701742
2017 13.067915999151028
2018 12.92949903570366
2019 12.917741980088035
2020 13.084188777526842
2021 12.77
2022 12.99
