DATE,Count
1850-01-01,2244602    
1860-01-01,4138697    
1870-01-01,5567229    
1880-01-01,6679943    
1890-01-01,9249547    
1900-01-01,10341276   
1910-01-01,13515886   
1920-01-01,13920692   
1930-01-01,14204149   
1940-01-01,11594896   
1950-01-01,10347395   
1960-01-01,9738091    
1970-01-01,9619302    
1980-01-01,14079906   
1990-01-01,19767316   
2000-01-01,31107889   
2010-01-01,39956000   
2017-01-01,44525500   
2018-01-01,44728502   
2019-01-01,42990000
2020-01-01,42361000
2021-01-01,43226000
2022-01-01,45150000
2023-01-01,46651000
2024-01-01,48497000
