,country,Purchasing Power Parity,Foreign Exchange/Gold,Defense Budget,External Debt,Square Land Area,Coastline Coverage,Shared Borders,Waterways (usable),Total Population,Fit-for-Service,Reaching Mil Age Annually,Active Personnel,Reserve Personnel,Paramilitary,Air Force Personnel,Army Personnel,Navy Personnel,Yearly Mobilization Potential,Aircraft Total,Attack Types,Transports (Fixed-Wing),Trainers,Special-Mission,Tanker Fleet,Helicopters,Attack Helicopters,Tanks,Vehicles,Self-Propelled Artillery,Towed Artillery,MLRS (Rocket Artillery),Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Oil Production,Oil Consumption,Oil Deficit,Oil Proven Reserves,Natural Gas Production,Natural Gas Consumption,Natural Gas Deficit,Nat.Gas Proven Rez,Coal Production,Coal Consumption,Coal Deficit,Coal Proven Reserves,Labor Force,Merchant Marine Fleet,Ports / Trade Terminals,Airports,Roadway Coverage,Railway Coverage
0,United States of America,"$24,662,000,000,000 USD","$773,426,000,000 USD","$895,000,000,000 USD","$22,303,546,100,000 USD","9,833,517 km","19,924 km","12,002 km","41,009 km","150,463,900","124,816,644","4,445,524","1,328,000","799,500",0,"701,319","1,403,200","667,108","4,389,402"," 1,790 ", 889 , 918 ," 2,647 ", 647 , 605 ," 5,843 "," 1,002 "," 4,640"," 391,963", 671," 1,212", 641,11,9,81,0,26,70,0,8,"20,879,000 bbl","20,245,000 bbl","+634,000 bbl","38,212,000,000 bbl","1,029,000,000,000 cu.m","914,301,000,000 cu.m","+114,699,000,000 cu.m","13,402,000,000,000 cu.m","548,849,000 mt","476,044,000 mt","+72,805,000 mt","248,941,000,000 mt","170,549,000","3,533",666,"15,873","6,586,610 km","293,564 km"
1,Switzerland,"$733,779,000,000 USD","$863,892,000,000 USD","$25,039,000,000 USD","$2,200,000,000,000 USD","41,277 km",LANDLOCKED,"1,770 km","1,292 km","3,898,653","3,163,225","97,466","101,584","49,715","5,000","20,000","55,000",0,"96,236", 43 , 0 , 16 , 44 , 3 , 0 , 40 , 0 , 205," 6,996", 133, 0, 0,,,,,,,,,300 bbl,"193,000 bbl","-192,700 bbl",0 bbl,0 cu.m,"3,138,000,000 cu.m","-3,138,000,000 cu.m",0 cu.m,0 mt,"161,000 mt","-161,000 mt",0 mt,"4,991,000",17,0,62,"71,557 km","5,296 km"
2,Norway,"$499,528,000,000 USD","$80,459,000,000 USD","$9,710,000,000 USD","$716,144,000,000 USD","323,802 km","25,148 km","2,566 km","1,577 km","2,203,893","1,807,192","71,627","23,250",0,"40,000","3,650","8,815","4,000","70,723", 0 , 32 , 4 , 23 , 5 , 0 , 33 , 0 , 44," 6,552", 42, 0, 0,0,0,0,4,6,6,18,5,"2,020,000 bbl","229,000 bbl","+1,791,000 bbl","8,122,200,000 bbl","123,727,000,000 cu.m","4,548,000,000 cu.m","+119,179,000,000 cu.m","1,544,455,000,000 cu.m","117,000 mt","1,201,000 mt","-1,084,000 mt","2,000,000 mt","3,009,000","1,720",141,145,"94,902 km","3,848 km"
3,Ireland,"$608,463,000,000 USD","$12,905,000,000 USD","$1,500,000,000 USD","$3,300,000,000,000 USD","70,273 km","1,448 km",443 km,956 km,"2,407,392","1,999,182","57,568","7,765","1,700",0,710,"7,715",765,"56,841", 0 , 0 , 4 , 8 , 2 , 0 , 8 , 0 , 0," 1,712", 0, 0, 0,0,0,0,0,0,0,8,0,600 bbl,"156,000 bbl","-155,400 bbl",0 bbl,"1,447,000,000 cu.m","5,280,000,000 cu.m","-3,833,000,000 cu.m","9,911,000,000 cu.m",0 mt,"1,322,000 mt","-1,322,000 mt","40,000,000 mt","2,766,000",94,21,100,"99,830 km","1,688 km"
4,Qatar,"$304,973,000,000 USD","$51,539,000,000 USD","$9,432,000,000 USD","$187,000,000,000 USD","11,586 km",563 km,87 km,0 km,"638,022","490,001","12,760","66,550","15,000","5,500","2,000","42,500","4,500","12,599", 102 , 6 , 12 , 51 , 0 , 0 , 80 , 24 , 99," 5,024", 46, 12, 16,0,0,0,0,4,0,105,0,"1,815,000 bbl","297,000 bbl","+1,518,000 bbl","25,244,000 bbl","169,595,000,000 cu.m","41,515,000,000 cu.m","+128,080,000,000 cu.m","23,861,000,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,"2,035,000",123,6,8,"7,039 km",0 km
5,Singapore,"$754,758,000,000 USD","$359,835,000,000 USD","$15,000,000,000 USD","$1,713,410,600,000 USD",719 km,193 km,NONE - ISLAND,0 km,"3,918,498","2,628,408","66,313","51,000","252,500","12,000","13,500","280,000","9,000","65,476", 100 , 0 , 9 , 36 , 9 , 11 , 70 , 18 , 170," 8,998", 48, 89, 24,0,0,0,6,6,6,12,4,0 bbl,"1,470,000 bbl","-1,470,000 bbl",0 bbl,0 cu.m,"13,724,000,000 cu.m","-13,724,000,000 cu.m",0 cu.m,0 mt,"784,000 mt","-784,000 mt",0 mt,"3,619,000","3,202",5,9,"3,500 km",0 km
6,Denmark,"$428,385,000,000 USD","$109,371,000,000 USD","$7,225,466,250 USD","$555,500,000,000 USD","43,094 km","7,314 km",140 km,400 km,"2,628,180","2,126,436","77,651","20,000","12,000","51,000","3,500","88,400","3,600","76,671", 31 , 4 , 4 , 41 , 3 , 0 , 34 , 0 , 44," 3,856", 19, 0, 8,0,0,0,9,0,0,9,6,"63,000 bbl","152,000 bbl","-89,000 bbl","441,000,000 bbl","1,879,000,000 cu.m","2,208,000,000 cu.m","-329,000,000 cu.m","29,534,000,000 cu.m",0 mt,"1,788,000 mt","-1,788,000 mt",0 mt,"3,180,000",715,69,99,"74,558 km","2,682 km"
7,Australia,"$1,584,000,000,000 USD","$61,703,000,000 USD","$55,700,000,000 USD","$3,427,504,300,000 USD","7,741,220 km","25,760 km",NONE - ISLAND,"2,000 km","11,242,811","9,208,398","294,455","57,350","32,050",0,"20,000","50,000","20,000","290,738", 24 , 62 , 38 , 98 , 30 , 6 , 69 , 22 , 59," 15,648", 0, 48, 0,0,2,3,7,0,6,10,3,"386,000 bbl","1,123,000 bbl","-737,000 bbl","2,446,000,000 bbl","153,783,000,000 cu.m","50,188,000,000 cu.m","+103,595,000,000 cu.m","3,228,000,000,000 cu.m","465,865,000 mt","107,624,000 mt","+358,241,000 mt","150,227,000,000 mt","14,501,000",604,66,"2,180","873,573 km","36,064 km"
8,Sweden,"$676,353,000,000 USD","$60,863,000,000 USD","$13,000,000,000 USD","$1,002,448,700,000 USD","450,295 km","3,218 km","2,211 km","2,052 km","4,235,934","3,558,185","105,898","24,400","32,900","25,000","2,700","6,850","2,100","104,561", 71 , 0 , 6 , 33 , 5 , 1 , 53 , 0 , 110," 6,795", 26, 0, 0,0,0,0,0,7,4,179,8,"11,000 bbl","283,000 bbl","-272,000 bbl",0 bbl,0 cu.m,"889,924,000 cu.m","-889,924,000 cu.m",0 cu.m,"1,115,000 mt","3,396,000 mt","-2,281,000 mt","5,000,000 mt","5,825,000",361,92,203,"573,134 km","10,910 km"
9,Netherlands,"$1,240,000,000,000 USD","$69,830,000,000 USD","$27,000,000,000 USD","$4,779,954,300,000 USD","41,543 km",451 km,"1,053 km","6,237 km","7,997,570","6,486,918","195,496","41,380","6,765","5,000","6,540","23,370","7,510","193,028", 32 , 0 , 4 , 21 , 0 , 0 , 63 , 12 , 18," 2,755", 46, 0, 2,0,0,0,6,0,3,4,4,"70,000 bbl","872,000 bbl","-802,000 bbl","137,747,000 bbl","17,774,000,000 cu.m","33,243,000,000 cu.m","-15,469,000,000 cu.m","132,608,000,000 cu.m","1,825,000 mt","10,610,000 mt","-8,785,000 mt","3,247,000,000 mt","9,999,000","1,187",18,45,"139,124 km","3,055 km"
