"Ship Name","Location","Latitude","Longitude"
"USS Tripoli (LHA-7)","Sasebo, Japan",33.16541600974095, 129.71559820499664
"USS George Washington (CVN-73)","Philippine Sea",18.0,127.0
"USS Robert Smalls (CG-62)","Philippine Sea",18.0,127.0
"USS Shoup (DDG-86)","Philippine Sea",18.0,127.0
"USS America (LHA-6)","Philippine Sea",18.0,127.0
"USS Rushmore (LSD-47)","Philippine Sea",18.0,127.0
"USS New Orleans (LPD-18)","Philippine Sea",18.0,127.0
"USS San Diego (LPD-22)","Philippine Sea",18.0,127.0
"USS Carl Vinson (CVN-70)","Pearl Harbor, Hawaii",21.353,-157.973
"USS Princeton (CG-59)","Pearl Harbor, Hawaii",21.353,-157.973
"USS Sterett (DDG-104)","Pearl Harbor, Hawaii",21.353,-157.973
"USS William P. Lawrence (DDG-110)","Pearl Harbor, Hawaii",21.353,-157.973
"USNS Comfort (T-AH-20)","Caribbean Sea",15.31,-74.67
"USS Gerald R. Ford (CVN-78)","Marseille, France",42.43571387415697, 5.39122050838454
"USS Winston S. Churchill (DDG-81)","Marseille, France",42.43571387415697, 5.39122050838454
"USS Mitscher (DDG-57)","Marseille, France",42.43571387415697, 5.39122050838454
"USS Bainbridge (DDG-96)","Marseille, France",42.43571387415697, 5.39122050838454
"USS Arleigh Burke (DDG-51)","Eastern Mediterranean",33.58803396452785, 34.79277395147242
"USS Canberra (LCS-30)","Manama, Bahrain",26.24,50.60
"USS Nimitz (CVN-68)","Gulf of Oman",25,58
"USNS John Lewis (T-AO-205)","Gulf of Oman",25,58
"USS Gridley (DDG-101)","Gulf of Oman",25,58
"USS Wayne E. Meyer (DDG-108)","Gulf of Oman",25,58
"USS Lenah Sutcliffe Higbee (DDG-123)","Gulf of Oman",25,58
"USS Forrest Sherman (DDG-98)","Gulf of Oman",25,58
"USS Fitzgerald (DDG-62)","Arabian Gulf",26,52
"USS Truxtun (DDG-103)","Arabian Gulf",26,52
"USS Abraham Lincoln (CVN-72)","California coast",34,-120
"USS Theodore Roosevelt (CVN-71)","San Diego, California",32.59912244678695, -118.05463895790685
"USS Makin Island (LHD-8)","San Diego, California",32.59912244678695, -118.05463895790685
"USS Harry S. Truman (CVN-75)","Virginia coast",36.89,-75.49
