Ship Name|Latitude|Longitude|Location Source
USS George Washington (CVN-73)|35.2815|139.6721|Yokosuka, Japan (Naval Base)
USS Tripoli (LHA-7)|20.0000|130.0000|Philippine Sea (Approximate Center)
USS Rushmore (LSD-47)|20.0000|130.0000|Philippine Sea (Approximate Center)
USS New Orleans (LPD-18)|20.0000|130.0000|Philippine Sea (Approximate Center)
USS San Diego (LPD-22)|20.0000|130.0000|Philippine Sea (Approximate Center)
USS Nimitz (CVN-68)|12.0000|113.0000|South China Sea (Approximate Center)
USS Gridley (DDG-101)|12.0000|113.0000|South China Sea (Approximate Center)
USS Wayne E. Meyer (DDG-108)|12.0000|113.0000|South China Sea (Approximate Center)
USS Lenah Sutcliffe Higbee (DDG-123)|12.0000|113.0000|South China Sea (Approximate Center)
USS Iwo Jima (LHD-7)|15.3103|-74.6780|Caribbean Sea (Approximate Center)
USS Fort Lauderdale (LPD-28)|30.3919|-81.4236|Naval Station Mayport, Fla
USS San Antonio (LPD-17)|15.3103|-74.6780|Caribbean Sea (Approximate Center)
USS Jason Dunham (DDG-109)|15.3103|-74.6780|Caribbean Sea (Approximate Center)
USS Gravely (DDG-107)|15.3103|-74.6780|Caribbean Sea (Approximate Center)
USS Stockdale (DDG-106)|15.3103|-74.6780|Caribbean Sea (Approximate Center)
USS Lake Erie (CG-70)|15.3103|-74.6780|Caribbean Sea (Approximate Center)
USS Wichita (LCS-13)|15.3103|-74.6780|Caribbean Sea (Approximate Center)
USS Gerald R. Ford (CVN-78)|38.0000|19.0000|Ionian Sea (Approximate Center)
USS Winston S. Churchill (DDG-81)|38.0000|19.0000|Ionian Sea (Approximate Center)
USS Bainbridge (DDG-96)|38.0000|19.0000|Ionian Sea (Approximate Center)
USS Mahan (DDG-72)|38.0000|19.0000|Ionian Sea (Approximate Center)
USS Roosevelt (DDG-80)|35.0000|18.0000|Mediterranean Sea (Approximate Center)
USS Forrest Sherman (DDG-98)|22.0000|38.0000|Red Sea (Approximate Center)
USS Mitscher (DDG-57)|22.0000|38.0000|Red Sea (Approximate Center)
USS Canberra (LCS-30)|26.1141|51.6975|Persian Gulf (Approximate Spot)
USS Santa Barbara (LCS-32)|26.1141|51.6975|Persian Gulf (Approximate Spot)
USS Tulsa (LCS-16)|26.1141|51.6975|Persian Gulf (Approximate Spot)
USS Theodore Roosevelt (CVN-71)|32.6756|-117.1199|Naval Base San Diego, Calif
USS Makin Island (LHD-8)|32.6756|-117.1199|Naval Base San Diego, Calif
USS Boxer (LHD-4)|32.6756|-117.1199|Naval Base San Diego, Calif
USS Kearsarge (LHD-3)|36.9450|-76.3133|Naval Station Norfolk, Va
