Ship Name,Latitude,Longitude
USS Tripoli (LHA-7),16.07,108.21
USS Robert Smalls (CG-62),16.07,108.21
USS Rushmore (LSD-47),16.07,108.21
USS New Orleans (LPD-18),16.07,108.21
USS San Diego (LPD-22),16.07,108.21
USS George Washington (CVN-73),13.38,144.70
USCGC Polar Star (WAGB-10),21.37,-157.98
USS Abraham Lincoln (CVN-72),15.00,130.00
USS Frank E. Petersen Jr. (DDG-121),15.00,130.00
USS Michael Murphy (DDG-112),15.00,130.00
USS Spruance (DDG-111),15.00,130.00
USS Iwo Jima (LHD-7),15.50,-74.50
USS Fort Lauderdale (LPD-28),15.50,-74.50
USS San Antonio (LPD-17),15.50,-74.50
USS Thomas Hudner (DDG-116),15.50,-74.50
USS Stockdale (DDG-106),15.50,-74.50
USS Lake Erie (CG-70),15.50,-74.50
USS Gettysburg (CG-64),15.50,-74.50
USS Gerald R. Ford (CVN-78),15.50,-74.50
USS Winston S. Churchill (DDG-81),15.50,-74.50
USS Bainbridge (DDG-96),15.50,-74.50
USS Mahan (DDG-72),15.50,-74.50
USS Mitscher (DDG-57),16.26,62.85
USS Canberra (LCS-30),26.00,52.00
USS Santa Barbara (LCS-32),26.00,52.00
USS Tulsa (LCS-16),26.00,52.00
USS Roosevelt (DDG-80),26.00,52.00
USS George H. W. Bush (CVN-77),36.85,-76.29
USS Kearsarge (LHD-3),36.85,-76.29
USS Nimitz (CVN-68),32.72,-117.16
USS Gridley (DDG-101),32.72,-117.16
USS Wayne E. Meyer (DDG-108),32.72,-117.16
USS Lenah Sutcliffe Higbee (DDG-123),32.72,-117.16
USS Boxer (LHD-4),32.72,-117.16
USS Makin Island (LHD-8),32.72,-117.16
