Year,Debt_GDP_Pct
1790,30.0
1791,28.0
1792,26.0
1793,24.0
1794,22.0
1795,20.0
1796,18.5
1797,17.0
1798,16.0
1799,14.0
1800,13.0
1801,12.0
1802,11.0
1803,10.0
1804,9.5
1805,9.0
1806,8.5
1807,8.0
1808,8.0
1809,7.5
1810,7.5
1811,6.0
1812,7.0
1813,10.0
1814,14.0
1815,16.0
1816,15.0
1817,13.5
1818,12.0
1819,11.0
1820,10.0
1821,9.5
1822,9.0
1823,8.5
1824,8.0
1825,7.5
1826,7.0
1827,6.0
1828,5.0
1829,4.0
1830,3.0
1831,2.0
1832,1.5
1833,1.0
1834,0.5
1835,0.0
1836,0.0
1837,1.0
1838,1.5
1839,2.0
1840,2.0
1841,2.0
1842,2.5
1843,2.5
1844,2.0
1845,2.0
1846,2.0
1847,3.0
1848,2.5
1849,2.5
1850,2.0
1851,1.5
1852,1.5
1853,1.5
1854,1.5
1855,1.5
1856,1.5
1857,1.5
1858,2.0
1859,1.5
1860,1.5
1861,3.0
1862,10.0
1863,20.0
1864,28.0
1865,32.0
1866,30.0
1867,27.0
1868,25.0
1869,23.0
1870,21.0
1871,19.0
1872,17.5
1873,16.5
1874,16.0
1875,15.5
1876,15.0
1877,14.5
1878,14.0
1879,13.5
1880,13.0
1881,12.0
1882,10.5
1883,9.5
1884,8.5
1885,8.0
1886,7.5
1887,7.0
1888,7.0
1889,6.5
1890,6.0
1891,5.5
1892,5.5
1893,5.5
1894,5.5
1895,5.5
1896,6.0
1897,6.0
1899,7.0
1900,7.0
1901,6.5
1902,6.0
1903,6.0
1904,6.0
1905,6.0
1906,6.0
1907,6.0
1908,6.0
1909,6.0
1910,6.0
1911,6.0
1912,6.0
1913,6.0
1914,6.5
1915,7.5
1916,9.0
1917,16.0
1918,27.0
1919,35.0
1920,33.0
1921,33.0
1922,32.0
1923,30.0
1924,28.0
1925,26.0
1926,24.0
1927,22.0
1928,20.0
1929,18.0
1930,18.0
1931,22.0
1932,28.0
1933,32.0
1934,36.0
1935,36.0
1936,36.0
1937,36.0
1938,38.0
1939,51.59
1940,49.27
1941,44.47
1942,47.72
1943,70.22
1944,90.93
1945,114.08
1946,119.10
1947,103.00
1948,91.81
1949,92.71
1950,85.68
1951,73.59
1952,70.53
1953,68.34
1954,69.34
1955,64.49
1956,60.69
1957,57.44
1958,58.12
1959,55.11
1960,53.56
1961,52.04
1962,50.16
1963,48.68
1964,46.18
1965,43.42
1966,39.68708
1967,38.79013
1968,37.42190
1969,35.41470
1970,35.16937
1971,34.87591
1972,33.94303
1973,32.38397
1974,31.10487
1975,32.23119
1976,33.47766
1977,33.16556
1978,32.42544
1979,31.15224
1980,31.31418
1981,30.88520
1982,33.48049
1983,36.80185
1984,38.44067
1985,41.77682
1986,45.76480
1987,48.07505
1988,49.27294
1989,50.29316
1990,53.62628
1991,58.72731
1992,61.74919
1993,63.88784
1994,64.20296
1995,64.72438
1996,64.49827
1997,63.17769
1998,61.33893
1999,58.99429
2000,55.61407
2001,54.93145
2002,56.64506
2003,58.71754
2004,60.11638
2005,60.80830
2006,61.48438
2007,62.09817
2008,67.13855
2009,80.96044
2010,88.95417
2011,93.94041
2012,98.36839
2013,99.82918
2014,101.0973
2015,100.2672
2016,103.9553
2017,102.5260
2018,103.8065
2019,104.4148
2020,122.3021
2021,120.9307
2022,118.3513
2023,117.6970
2024,120.3968
