ship,latitude,longitude
USS Gerald R. Ford (CVN-78),34.0000,24.0000
USS Bainbridge (DDG-96),34.0000,24.0000
USS Mahan (DDG-72),34.0000,24.0000
USS Abraham Lincoln (CVN-72),17.0000,60.0000
USS Spruance (DDG-111),17.0000,60.0000
USS Frank E. Petersen Jr. (DDG-121),17.0000,60.0000
USS McFaul (DDG-74),17.0000,60.0000
USS John Finn (DDG-113),17.0000,60.0000
USS Milius (DDG-69),17.0000,60.0000
USS Delbert D. Black (DDG-119),17.0000,60.0000
USS Pinckney (DDG-91),17.0000,60.0000
USS Mitscher (DDG-57),17.0000,60.0000
USS Winston S. Churchill (DDG-81),30.4000,-81.4100
USS Tripoli (LHA-7),26.2120,127.6790
USS San Diego (LPD-22),26.2120,127.6790
USS New Orleans (LPD-18),26.2120,127.6790
USS Roosevelt (DDG-80),36.6180,-6.3570
USS Bulkeley (DDG-84),36.6180,-6.3570
USS Thomas Hudner (DDG-116),30.4000,-81.4100
USS Canberra (LCS-30),26.2000,50.6000
USS Tulsa (LCS-16),26.2000,50.6000
USS Santa Barbara (LCS-32),26.2000,50.6000
USS Michael Murphy (DDG-112),25.0000,56.0000
USS George H.W. Bush (CVN-77),35.0000,-50.0000
USCGC Polar Star (WAGB-10),-77.8500,166.6600
USNS Mercy (T-AH-19),30.6950,-88.0430
USNS Comfort (T-AH-20),30.6950,-88.0430
